"No.","Time","Source","Destination","Protocol","Length","Info"
"39","17.950111","fe80::31:aa43:126:e414","ff02::fb","MDNS","247","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"40","18.502313","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"41","18.946018","192.168.50.106","224.0.0.251","MDNS","227","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"42","18.946215","fe80::2:693f:3bc6:86c6","ff02::fb","MDNS","247","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"43","18.949854","192.168.50.11","224.0.0.251","MDNS","227","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"44","18.949854","fe80::31:aa43:126:e414","ff02::fb","MDNS","247","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"45","19.512614","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"46","20.522480","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"47","20.609253","192.168.50.168","192.168.50.1","NBNS","110","Refresh NB MINI-HP<20>"
"48","20.610821","192.168.50.1","192.168.50.168","ICMP","138","Destination unreachable (Port unreachable)"
"49","20.653027","192.168.50.1","224.0.0.1","IGMPv3","60","Membership Query, general"
"50","20.948533","192.168.50.106","224.0.0.251","MDNS","227","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"51","20.948948","fe80::2:693f:3bc6:86c6","ff02::fb","MDNS","247","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"52","20.950143","192.168.50.11","224.0.0.251","MDNS","227","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"53","20.950143","fe80::31:aa43:126:e414","ff02::fb","MDNS","247","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"54","20.999825","192.168.50.168","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"55","21.422466","Cisco_79:23:4c","Broadcast","ARP","60","Gratuitous ARP for 192.168.50.174 (Request)"
"56","21.532390","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"57","22.109906","192.168.50.168","192.168.50.1","NBNS","110","Refresh NB MINI-HP<20>"
"58","22.111510","192.168.50.1","192.168.50.168","ICMP","138","Destination unreachable (Port unreachable)"
"59","22.223854","192.168.50.63","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"60","22.542744","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"61","23.501188","192.168.50.168","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"62","23.552567","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"63","23.610571","192.168.50.168","192.168.50.1","NBNS","110","Refresh NB MINI-HP<20>"
"64","23.612008","192.168.50.1","192.168.50.168","ICMP","138","Destination unreachable (Port unreachable)"
"65","24.562532","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"66","24.950707","192.168.50.106","224.0.0.251","MDNS","227","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"67","24.951177","fe80::2:693f:3bc6:86c6","ff02::fb","MDNS","247","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"68","24.955988","192.168.50.11","224.0.0.251","MDNS","227","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"69","24.955988","fe80::31:aa43:126:e414","ff02::fb","MDNS","247","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"70","25.237659","165.254.191.197","192.168.50.168","TCP","60","[TCP Dup ACK 26#1] 443  >  49673 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"71","25.237703","192.168.50.168","165.254.191.197","TCP","54","[TCP Dup ACK 27#1] 49673  >  443 [ACK] Seq=1 Ack=2 Win=1024 Len=0"
"72","25.501826","HewlettPacka_55:49:73","ASUSTekCOMPU_9a:63:18","ARP","42","Who has 192.168.50.1? Tell 192.168.50.168"
"73","25.502989","ASUSTekCOMPU_9a:63:18","HewlettPacka_55:49:73","ARP","60","192.168.50.1 is at c8:7f:54:9a:63:18"
"74","25.572533","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"75","25.689387","192.168.50.168","20.54.24.148","TCP","54","55666  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1026 Len=0"
"76","25.787836","20.54.24.148","192.168.50.168","TCP","60","443  >  55666 [FIN, ACK] Seq=1 Ack=2 Win=2048 Len=0"
"77","25.787900","192.168.50.168","20.54.24.148","TCP","54","55666  >  443 [ACK] Seq=2 Ack=2 Win=1026 Len=0"
"78","26.087794","ASUSTekCOMPU_9a:63:18","HewlettPacka_55:49:73","ARP","60","Who has 192.168.50.168? Tell 192.168.50.1"
"79","26.087810","HewlettPacka_55:49:73","ASUSTekCOMPU_9a:63:18","ARP","42","192.168.50.168 is at 48:0f:cf:55:49:73"
"80","26.582535","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"81","26.940013","Intel_47:29:99","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 0"
"82","26.963267","0.0.0.0","255.255.255.255","DHCP","356","DHCP Request  - Transaction ID 0xa897feab"
"83","26.965293","192.168.50.1","255.255.255.255","DHCP","375","DHCP ACK      - Transaction ID 0xa897feab"
"84","26.982300","Intel_47:29:99","Broadcast","ARP","60","Who has 192.168.50.1? Tell 192.168.50.134"
"85","26.989772","fe80::fcc2:92ca:2888:8020","ff02::1:2","DHCPv6","153","Solicit XID: 0x4d0e48 CID: 0001000128a5f211088fc30ab66b "
"86","27.120342","fe80::fcc2:92ca:2888:8020","ff02::1:3","LLMNR","91","Standard query 0x8847 ANY LAPTOP-FRED"
"87","27.120647","192.168.50.134","224.0.0.252","LLMNR","71","Standard query 0x8847 ANY LAPTOP-FRED"
"88","27.396374","Intel_47:29:99","Broadcast","ARP","60","Who has 192.168.50.1? Tell 192.168.50.134"
"89","27.408701","Intel_47:29:99","Broadcast","ARP","60","Who has 192.168.50.134? (ARP Probe)"
"90","27.409226","::","ff02::1:ff88:8020","ICMPv6","78","Neighbor Solicitation for fe80::fcc2:92ca:2888:8020"
"91","27.409226","fe80::fcc2:92ca:2888:8020","ff02::2","ICMPv6","62","Router Solicitation"
"92","27.592517","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"93","27.992398","fe80::fcc2:92ca:2888:8020","ff02::1:2","DHCPv6","153","Solicit XID: 0x4d0e48 CID: 0001000128a5f211088fc30ab66b "
"94","28.390565","192.168.50.134","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"95","28.414461","Intel_47:29:99","Broadcast","ARP","60","Who has 192.168.50.134? (ARP Probe)"
"96","28.414461","fe80::fcc2:92ca:2888:8020","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::fcc2:92ca:2888:8020 (ovr) is at a8:64:f1:47:29:99"
"97","28.424608","192.168.50.134","224.0.0.251","MDNS","77","Standard query 0x0000 ANY LAPTOP-FRED.local, ""QM"" question"
"98","28.425206","fe80::fcc2:92ca:2888:8020","ff02::fb","MDNS","97","Standard query 0x0000 ANY LAPTOP-FRED.local, ""QM"" question"
"99","28.425679","192.168.50.134","224.0.0.251","MDNS","115","Standard query response 0x0000 AAAA fe80::fcc2:92ca:2888:8020 A 192.168.50.134"
"100","28.425696","fe80::fcc2:92ca:2888:8020","ff02::fb","MDNS","135","Standard query response 0x0000 AAAA fe80::fcc2:92ca:2888:8020 A 192.168.50.134"
"101","28.425696","fe80::fcc2:92ca:2888:8020","ff02::1:3","LLMNR","91","Standard query 0x043c ANY LAPTOP-FRED"
"102","28.426559","192.168.50.134","224.0.0.252","LLMNR","71","Standard query 0x043c ANY LAPTOP-FRED"
"103","28.503217","192.168.50.168","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"104","28.602621","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"105","29.010367","fe80::fcc2:92ca:2888:8020","ff02::1:2","DHCPv6","153","Solicit XID: 0x4d0e48 CID: 0001000128a5f211088fc30ab66b "
"106","29.225849","192.168.50.134","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"107","29.226911","fe80::fcc2:92ca:2888:8020","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"108","29.251169","165.254.191.197","192.168.50.168","TLSv1.2","309","[TCP Previous segment not captured] , Application Data"
"109","29.251446","192.168.50.168","165.254.191.197","TLSv1.2","877","Application Data"
"110","29.278200","165.254.191.197","192.168.50.168","TCP","60","443  >  49673 [ACK] Seq=257 Ack=824 Win=501 Len=0"
"111","29.406085","Intel_47:29:99","Broadcast","ARP","60","Who has 192.168.50.134? (ARP Probe)"
"112","29.407534","192.168.50.134","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"113","29.612587","192.168.50.168","192.168.50.1","NBNS","110","Refresh NB MINI-HP<00>"
"114","29.612639","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"115","29.613634","192.168.50.1","192.168.50.168","ICMP","138","Destination unreachable (Port unreachable)"
"116","30.238888","192.168.50.134","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"117","30.244535","fe80::fcc2:92ca:2888:8020","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"118","30.396606","fe80::fcc2:92ca:2888:8020","ff02::c","UDP","1158","58974  >  3702 Len=1096"
"119","30.398129","192.168.50.134","239.255.255.250","UDP","1125","58973  >  3702 Len=1083"
"120","30.408988","Intel_47:29:99","Broadcast","ARP","60","ARP Announcement for 192.168.50.134"
"121","30.409572","192.168.50.134","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"122","30.483392","192.168.50.134","239.255.255.250","UDP","1125","58973  >  3702 Len=1083"
"123","30.483950","fe80::fcc2:92ca:2888:8020","ff02::c","UDP","1158","58974  >  3702 Len=1096"
"124","30.514704","192.168.50.134","224.0.0.251","MDNS","77","Standard query 0x0000 ANY LAPTOP-FRED.local, ""QM"" question"
"125","30.517141","fe80::fcc2:92ca:2888:8020","ff02::fb","MDNS","97","Standard query 0x0000 ANY LAPTOP-FRED.local, ""QM"" question"
"126","30.518686","fe80::fcc2:92ca:2888:8020","ff02::fb","MDNS","135","Standard query response 0x0000 AAAA fe80::fcc2:92ca:2888:8020 A 192.168.50.134"
"127","30.519925","192.168.50.134","224.0.0.251","MDNS","115","Standard query response 0x0000 AAAA fe80::fcc2:92ca:2888:8020 A 192.168.50.134"
"128","30.519941","fe80::fcc2:92ca:2888:8020","ff02::1:3","LLMNR","91","Standard query 0x9ef1 ANY LAPTOP-FRED"
"129","30.520730","192.168.50.134","224.0.0.252","LLMNR","71","Standard query 0x9ef1 ANY LAPTOP-FRED"
"130","30.599685","192.168.50.134","239.255.255.250","UDP","1125","58973  >  3702 Len=1083"
"131","30.615611","fe80::fcc2:92ca:2888:8020","ff02::c","UDP","1158","58974  >  3702 Len=1096"
"132","30.622509","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"133","30.721151","fe80::fcc2:92ca:2888:8020","ff02::c","SSDP","157","M-SEARCH * HTTP/1.1 "
"134","30.722702","192.168.50.134","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"135","30.730550","fe80::fcc2:92ca:2888:8020","ff02::c","UDP","686","60671  >  3702 Len=624"
"136","30.732116","192.168.50.134","239.255.255.250","UDP","666","60670  >  3702 Len=624"
"137","30.779890","192.168.50.134","224.0.0.251","MDNS","255","Standard query 0x0000 ANY 3.27.0.120-LAPTOP-FRED.7275a78a-c424-4494-8e1d-0cbd1977190f._nvstream_dbd._tcp.local, ""QM"" question ANY LAPTOP-FRED.local, ""QM"" question ANY LAPTOP-FRED.local, ""QM"" question SRV 0 0 47989 LAPTOP-FRED.local A 192.168.50.134 AAAA fe80::fcc2:92ca:2888:8020 OPT"
"138","30.780271","192.168.50.134","224.0.0.251","MDNS","176","Standard query response 0x0000 AAAA fe80::fcc2:92ca:2888:8020 A 192.168.50.134 AAAA fe80::fcc2:92ca:2888:8020 A 192.168.50.134"
"139","30.780271","192.168.50.134","224.0.0.251","MDNS","138","Standard query response 0x0000 PTR _nvstream_dbd._tcp.local OPT"
"140","30.818811","192.168.50.134","239.255.255.250","UDP","1125","58973  >  3702 Len=1083"
"141","30.850023","fe80::fcc2:92ca:2888:8020","ff02::c","UDP","686","60671  >  3702 Len=624"
"142","30.865607","fe80::fcc2:92ca:2888:8020","ff02::c","UDP","1158","58974  >  3702 Len=1096"
"143","30.912202","192.168.50.134","239.255.255.250","UDP","666","60670  >  3702 Len=624"
"144","31.020466","fe80::fcc2:92ca:2888:8020","ff02::1:2","DHCPv6","153","Solicit XID: 0x4d0e48 CID: 0001000128a5f211088fc30ab66b "
"145","31.045129","192.168.50.134","224.0.0.251","MDNS","255","Standard query 0x0000 ANY 3.27.0.120-LAPTOP-FRED.7275a78a-c424-4494-8e1d-0cbd1977190f._nvstream_dbd._tcp.local, ""QM"" question ANY LAPTOP-FRED.local, ""QM"" question ANY LAPTOP-FRED.local, ""QM"" question SRV 0 0 47989 LAPTOP-FRED.local A 192.168.50.134 AAAA fe80::fcc2:92ca:2888:8020 OPT"
"146","31.045559","192.168.50.134","224.0.0.251","MDNS","176","Standard query response 0x0000 AAAA fe80::fcc2:92ca:2888:8020 A 192.168.50.134 AAAA fe80::fcc2:92ca:2888:8020 A 192.168.50.134"
"147","31.083291","fe80::fcc2:92ca:2888:8020","ff02::c","UDP","686","60671  >  3702 Len=624"
"148","31.113257","192.168.50.168","192.168.50.1","NBNS","110","Refresh NB MINI-HP<00>"
"149","31.114739","192.168.50.1","192.168.50.168","ICMP","138","Destination unreachable (Port unreachable)"
"150","31.283840","192.168.50.134","239.255.255.250","UDP","666","60670  >  3702 Len=624"
"151","31.313771","192.168.50.134","224.0.0.251","MDNS","255","Standard query 0x0000 ANY 3.27.0.120-LAPTOP-FRED.7275a78a-c424-4494-8e1d-0cbd1977190f._nvstream_dbd._tcp.local, ""QM"" question ANY LAPTOP-FRED.local, ""QM"" question ANY LAPTOP-FRED.local, ""QM"" question SRV 0 0 47989 LAPTOP-FRED.local A 192.168.50.134 AAAA fe80::fcc2:92ca:2888:8020 OPT"
"152","31.314409","192.168.50.134","224.0.0.251","MDNS","176","Standard query response 0x0000 AAAA fe80::fcc2:92ca:2888:8020 A 192.168.50.134 AAAA fe80::fcc2:92ca:2888:8020 A 192.168.50.134"
"153","31.408528","fe80::fcc2:92ca:2888:8020","ff02::2","ICMPv6","70","Router Solicitation from a8:64:f1:47:29:99"
"154","31.424459","192.168.50.134","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"155","31.454098","192.168.50.134","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"156","31.454468","192.168.50.134","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"157","31.454488","fe80::fcc2:92ca:2888:8020","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"158","31.455071","fe80::fcc2:92ca:2888:8020","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"159","31.548905","fe80::fcc2:92ca:2888:8020","ff02::c","UDP","686","60671  >  3702 Len=624"
"160","31.581210","192.168.50.134","224.0.0.251","MDNS","464","Standard query response 0x0000 TXT, cache flush PTR 3.27.0.120-LAPTOP-FRED.7275a78a-c424-4494-8e1d-0cbd1977190f._nvstream_dbd._tcp.local SRV, cache flush 0 0 47989 LAPTOP-FRED.local PTR, cache flush LAPTOP-FRED.local PTR, cache flush LAPTOP-FRED.local A, cache flush 192.168.50.134 AAAA, cache flush fe80::fcc2:92ca:2888:8020 NSEC, cache flush 3.27.0.120-LAPTOP-FRED.7275a78a-c424-4494-8e1d-0cbd1977190f._nvstream_dbd._tcp.local NSEC, cache flush 134.50.168.192.in-addr.arpa NSEC, cache flush 0.2.0.8.8.8.8.2.A.C.2.9.2.C.C.F.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush LAPTOP-FRED.local OPT"
"161","31.597876","192.168.50.168","192.168.50.134","SSDP","481","HTTP/1.1 200 OK "
"162","31.632628","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"163","31.786391","192.168.50.134","224.0.0.251","MDNS","138","Standard query response 0x0000 PTR _nvstream_dbd._tcp.local OPT"
"164","32.003953","192.168.50.134","239.255.255.250","UDP","666","60670  >  3702 Len=624"
"165","32.157495","192.168.50.134","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"166","32.409869","Intel_47:29:99","Broadcast","ARP","60","ARP Announcement for 192.168.50.134"
"167","32.486522","fe80::fcc2:92ca:2888:8020","ff02::c","UDP","686","60671  >  3702 Len=624"
"168","32.598542","fe80::b8bf:7ed7:401f:688b","fe80::fcc2:92ca:2888:8020","SSDP","514","HTTP/1.1 200 OK "
"169","32.604617","192.168.50.134","224.0.0.251","MDNS","464","Standard query response 0x0000 TXT, cache flush PTR 3.27.0.120-LAPTOP-FRED.7275a78a-c424-4494-8e1d-0cbd1977190f._nvstream_dbd._tcp.local SRV, cache flush 0 0 47989 LAPTOP-FRED.local PTR, cache flush LAPTOP-FRED.local PTR, cache flush LAPTOP-FRED.local A, cache flush 192.168.50.134 AAAA, cache flush fe80::fcc2:92ca:2888:8020 NSEC, cache flush 3.27.0.120-LAPTOP-FRED.7275a78a-c424-4494-8e1d-0cbd1977190f._nvstream_dbd._tcp.local NSEC, cache flush 134.50.168.192.in-addr.arpa NSEC, cache flush 0.2.0.8.8.8.8.2.A.C.2.9.2.C.C.F.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush LAPTOP-FRED.local OPT"
"170","32.613836","192.168.50.168","192.168.50.1","NBNS","110","Refresh NB MINI-HP<00>"
"171","32.615222","192.168.50.1","192.168.50.168","ICMP","138","Destination unreachable (Port unreachable)"
"172","32.642590","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"173","32.909817","192.168.50.134","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"174","33.051589","192.168.50.134","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"175","33.442189","192.168.50.134","239.255.255.250","UDP","666","60670  >  3702 Len=624"
"176","33.510220","fe80::fcc2:92ca:2888:8020","ff02::1:ff1f:688b","ICMPv6","86","Neighbor Solicitation for fe80::b8bf:7ed7:401f:688b from a8:64:f1:47:29:99"
"177","33.510442","fe80::b8bf:7ed7:401f:688b","fe80::fcc2:92ca:2888:8020","ICMPv6","86","Neighbor Advertisement fe80::b8bf:7ed7:401f:688b (sol, ovr) is at 48:0f:cf:55:49:73"
"178","33.514448","fe80::fcc2:92ca:2888:8020","fe80::b8bf:7ed7:401f:688b","TCP","86","4056  >  2869 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"179","33.514594","fe80::b8bf:7ed7:401f:688b","fe80::fcc2:92ca:2888:8020","TCP","86","2869  >  4056 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"180","33.519502","fe80::fcc2:92ca:2888:8020","fe80::b8bf:7ed7:401f:688b","TCP","74","4056  >  2869 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"181","33.519685","fe80::fcc2:92ca:2888:8020","fe80::b8bf:7ed7:401f:688b","HTTP","326","GET /upnphost/udhisapi.dll?content=uuid:310f9b41-9d5c-4450-b3db-00973d8cc482 HTTP/1.1 "
"182","33.522295","fe80::b8bf:7ed7:401f:688b","fe80::fcc2:92ca:2888:8020","TCP","277","2869  >  4056 [PSH, ACK] Seq=1 Ack=253 Win=263168 Len=203 [TCP segment of a reassembled PDU]"
"183","33.522327","fe80::b8bf:7ed7:401f:688b","fe80::fcc2:92ca:2888:8020","TCP","1514","2869  >  4056 [ACK] Seq=204 Ack=253 Win=263168 Len=1440 [TCP segment of a reassembled PDU]"
"184","33.522327","fe80::b8bf:7ed7:401f:688b","fe80::fcc2:92ca:2888:8020","TCP","1514","2869  >  4056 [ACK] Seq=1644 Ack=253 Win=263168 Len=1440 [TCP segment of a reassembled PDU]"
"185","33.522327","fe80::b8bf:7ed7:401f:688b","fe80::fcc2:92ca:2888:8020","HTTP/XML","1474","HTTP/1.1 200 OK "
"186","33.526808","fe80::fcc2:92ca:2888:8020","fe80::b8bf:7ed7:401f:688b","TCP","74","4056  >  2869 [ACK] Seq=253 Ack=4484 Win=132352 Len=0"
"187","33.530956","fe80::fcc2:92ca:2888:8020","fe80::b8bf:7ed7:401f:688b","HTTP","345","GET /upnphost/udhisapi.dll?content=uuid:310f9b41-9d5c-4450-b3db-00973d8cc482 HTTP/1.1 "
"188","33.533255","fe80::b8bf:7ed7:401f:688b","fe80::fcc2:92ca:2888:8020","TCP","296","2869  >  4056 [PSH, ACK] Seq=4484 Ack=524 Win=262912 Len=222 [TCP segment of a reassembled PDU]"
"189","33.533286","fe80::b8bf:7ed7:401f:688b","fe80::fcc2:92ca:2888:8020","TCP","1514","2869  >  4056 [ACK] Seq=4706 Ack=524 Win=262912 Len=1440 [TCP segment of a reassembled PDU]"
"190","33.533286","fe80::b8bf:7ed7:401f:688b","fe80::fcc2:92ca:2888:8020","TCP","1514","2869  >  4056 [ACK] Seq=6146 Ack=524 Win=262912 Len=1440 [TCP segment of a reassembled PDU]"
"191","33.533286","fe80::b8bf:7ed7:401f:688b","fe80::fcc2:92ca:2888:8020","HTTP/XML","1474","HTTP/1.1 200 OK "
"192","33.540734","fe80::fcc2:92ca:2888:8020","fe80::b8bf:7ed7:401f:688b","TCP","74","4056  >  2869 [ACK] Seq=524 Ack=8987 Win=132352 Len=0"
"193","33.540734","fe80::fcc2:92ca:2888:8020","fe80::b8bf:7ed7:401f:688b","TCP","74","4056  >  2869 [FIN, ACK] Seq=524 Ack=8987 Win=132352 Len=0"
"194","33.540795","fe80::b8bf:7ed7:401f:688b","fe80::fcc2:92ca:2888:8020","TCP","74","2869  >  4056 [ACK] Seq=8987 Ack=525 Win=262912 Len=0"
"195","33.559584","fe80::fcc2:92ca:2888:8020","fe80::b8bf:7ed7:401f:688b","TCP","86","4057  >  2869 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
